epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,345.684,1.79629,1.21243,1.64072,0.72302,0.63401,0.67975,0.23754,2.29049,1.38245,2.10014,0.0014456,0.0014456,0.0014456
44,353.666,1.79403,1.18832,1.60144,0.70091,0.7,0.68688,0.26801,2.25874,1.34339,2.06145,0.0014324,0.0014324,0.0014324
45,361.535,1.84285,1.19857,1.65472,0.58768,0.61089,0.62988,0.23191,2.37389,1.3056,2.1777,0.0014192,0.0014192,0.0014192
46,369.523,1.79142,1.1811,1.59983,0.79983,0.65714,0.6959,0.27149,2.33591,1.22662,2.12645,0.001406,0.001406,0.001406
47,377.441,1.83156,1.20272,1.64434,0.75006,0.61429,0.67092,0.24874,2.3872,1.31537,2.16467,0.0013928,0.0013928,0.0013928
48,385.38,1.84736,1.22034,1.65849,0.70349,0.67794,0.7015,0.26292,2.27195,1.25236,2.07133,0.0013796,0.0013796,0.0013796
49,393.416,1.74121,1.12847,1.57968,0.84209,0.68562,0.72618,0.25244,2.34478,1.14689,2.14288,0.0013664,0.0013664,0.0013664
50,401.436,1.74428,1.12085,1.57359,0.70817,0.69339,0.73601,0.2736,2.24378,1.22139,2.04382,0.0013532,0.0013532,0.0013532
51,409.477,1.7458,1.17638,1.57918,0.70567,0.65714,0.71229,0.26421,2.22006,1.26036,2.08475,0.00134,0.00134,0.00134
52,417.499,1.7253,1.09825,1.57283,0.6809,0.74286,0.72364,0.25548,2.43685,1.30269,2.22407,0.0013268,0.0013268,0.0013268
53,425.567,1.71801,1.09614,1.60519,0.69756,0.71429,0.6972,0.26412,2.26357,1.31024,2.03655,0.0013136,0.0013136,0.0013136
54,433.765,1.72108,1.10071,1.56257,0.80748,0.65912,0.73623,0.27033,2.27843,1.2845,2.0642,0.0013004,0.0013004,0.0013004
55,441.855,1.67766,1.09885,1.53286,0.7377,0.61429,0.68172,0.26175,2.24985,1.34274,2.04151,0.0012872,0.0012872,0.0012872
56,449.876,1.67301,1.06439,1.55551,0.86888,0.65714,0.7323,0.26689,2.31416,1.31124,2.09531,0.001274,0.001274,0.001274
57,457.842,1.65158,1.03085,1.54535,0.85771,0.60283,0.67507,0.27397,2.29787,1.25811,2.07928,0.0012608,0.0012608,0.0012608
58,465.735,1.67003,1.05453,1.50988,0.77537,0.68571,0.71594,0.26764,2.25592,1.30878,2.07342,0.0012476,0.0012476,0.0012476
59,473.695,1.62757,1.04476,1.5048,0.82984,0.65714,0.71837,0.27681,2.24835,1.28516,2.0603,0.0012344,0.0012344,0.0012344
60,481.828,1.61979,1.0275,1.50405,0.79257,0.65504,0.7103,0.26404,2.31152,1.31805,2.13998,0.0012212,0.0012212,0.0012212
61,489.845,1.64922,1.0193,1.51753,0.7637,0.61429,0.69656,0.26435,2.2883,1.20687,2.05858,0.001208,0.001208,0.001208
62,497.775,1.57182,0.95704,1.45815,0.69437,0.71429,0.70962,0.25356,2.29661,1.26195,2.10133,0.0011948,0.0011948,0.0011948
63,505.731,1.58757,0.97597,1.49792,0.78203,0.7176,0.71274,0.25972,2.35679,1.18886,2.21096,0.0011816,0.0011816,0.0011816
64,513.664,1.64068,0.99604,1.55059,0.75142,0.71429,0.70975,0.27418,2.32508,1.18721,2.1529,0.0011684,0.0011684,0.0011684
65,521.66,1.62558,0.98787,1.5147,0.77786,0.64286,0.68121,0.26994,2.3047,1.21642,2.15456,0.0011552,0.0011552,0.0011552
66,529.63,1.52104,0.93491,1.4475,0.8342,0.64695,0.6996,0.25727,2.36711,1.18606,2.17397,0.001142,0.001142,0.001142
67,537.628,1.52896,0.93568,1.47402,0.84222,0.65714,0.74741,0.27414,2.37874,1.08116,2.21806,0.0011288,0.0011288,0.0011288
68,545.58,1.55894,0.96412,1.45223,0.83941,0.68571,0.73752,0.26468,2.36191,1.22133,2.23257,0.0011156,0.0011156,0.0011156
69,553.561,1.52129,0.93458,1.43209,0.76443,0.65714,0.67779,0.23829,2.39263,1.20596,2.21464,0.0011024,0.0011024,0.0011024
70,561.494,1.51412,0.91472,1.45472,0.87654,0.68571,0.77754,0.28049,2.31223,1.17566,2.16234,0.0010892,0.0010892,0.0010892
71,569.533,1.54164,0.90425,1.46439,0.74844,0.71429,0.71423,0.27058,2.34051,1.12558,2.19347,0.001076,0.001076,0.001076
72,577.4,1.45122,0.86452,1.38916,0.72042,0.62583,0.6844,0.28137,2.31748,1.22089,2.18424,0.0010628,0.0010628,0.0010628
73,585.495,1.49188,0.86329,1.39081,0.75116,0.68571,0.69831,0.26421,2.38597,1.12441,2.19849,0.0010496,0.0010496,0.0010496
74,593.612,1.46827,0.85219,1.37618,0.83705,0.68571,0.72588,0.26765,2.3883,1.13622,2.24057,0.0010364,0.0010364,0.0010364
75,601.741,1.47896,0.90445,1.39888,0.67923,0.74286,0.67307,0.26362,2.32301,1.16105,2.19135,0.0010232,0.0010232,0.0010232
76,609.774,1.43026,0.88699,1.38107,0.7502,0.68571,0.71942,0.29919,2.28362,1.10299,2.20569,0.00101,0.00101,0.00101
77,617.834,1.44734,0.84679,1.39055,0.80233,0.65714,0.6975,0.29306,2.25004,1.1263,2.15958,0.0009968,0.0009968,0.0009968
78,625.807,1.42105,0.85767,1.39495,0.85381,0.66752,0.78388,0.29036,2.36047,1.12078,2.21493,0.0009836,0.0009836,0.0009836
79,633.701,1.44769,0.84551,1.40195,0.81057,0.7,0.75998,0.30445,2.29674,1.0799,2.19376,0.0009704,0.0009704,0.0009704
80,641.663,1.43119,0.84497,1.35184,0.78862,0.65714,0.7422,0.29037,2.30716,1.10287,2.19263,0.0009572,0.0009572,0.0009572
81,649.625,1.42036,0.826,1.35751,0.6879,0.75714,0.71181,0.28682,2.2536,1.05432,2.14833,0.000944,0.000944,0.000944
82,657.613,1.44268,0.84025,1.37384,0.80571,0.67143,0.7223,0.26677,2.31566,1.12987,2.21417,0.0009308,0.0009308,0.0009308
83,665.595,1.35389,0.81687,1.32923,0.84598,0.74286,0.76709,0.26747,2.35607,1.15796,2.22455,0.0009176,0.0009176,0.0009176
84,673.67,1.33571,0.81743,1.34323,0.87549,0.71429,0.79344,0.27296,2.38445,1.22689,2.2405,0.0009044,0.0009044,0.0009044
85,681.672,1.36852,0.79964,1.32263,0.75853,0.7,0.71263,0.25094,2.34798,1.22462,2.22767,0.0008912,0.0008912,0.0008912
86,689.698,1.355,0.7948,1.3233,0.69071,0.76571,0.73432,0.28631,2.31379,1.15062,2.16617,0.000878,0.000878,0.000878
87,697.758,1.3468,0.79818,1.31017,0.71555,0.7,0.7053,0.27479,2.36866,1.21233,2.17323,0.0008648,0.0008648,0.0008648
88,705.746,1.335,0.79528,1.33474,0.78729,0.74286,0.76853,0.30182,2.28863,0.9993,2.15405,0.0008516,0.0008516,0.0008516
89,713.793,1.34692,0.81803,1.35284,0.74124,0.71429,0.74128,0.27782,2.33681,1.08494,2.21748,0.0008384,0.0008384,0.0008384
90,721.804,1.31481,0.79548,1.31503,0.82925,0.71429,0.74657,0.30975,2.25896,1.03013,2.17638,0.0008252,0.0008252,0.0008252
91,729.804,1.27092,0.74271,1.27952,0.9006,0.64724,0.76965,0.3051,2.27801,1.06785,2.21357,0.000812,0.000812,0.000812
92,737.714,1.29342,0.77501,1.28897,0.84116,0.64286,0.70936,0.24904,2.34515,1.11367,2.28233,0.0007988,0.0007988,0.0007988
93,745.67,1.26047,0.74005,1.28689,0.82132,0.65669,0.73103,0.27306,2.33632,1.12317,2.28226,0.0007856,0.0007856,0.0007856
94,753.673,1.25731,0.72512,1.28051,0.7775,0.75714,0.77346,0.29617,2.34224,1.01383,2.25609,0.0007724,0.0007724,0.0007724
